"Virtual";"Cycles";"Delivered packets";"Received packets";"Delivery rate (flits/node/cycle)";"Arrival rate (flits/node/cycle)";"Head Latency";"Head Latency (no locks)";"Packet Latency";"Packet Latency (no locks)";"Lock cycles";"Average Path (nodes)"
"Virtual";"Cycles";"Delivered packets";"Received packets";"Delivery rate (flits/node/cycle)";"Arrival rate (flits/node/cycle)";"Head Latency";"Head Latency (no locks)";"Packet Latency";"Packet Latency (no locks)";"Lock cycles";"Average Path (nodes)"
2;202303;20103;20100;0.098881;0.098862;10.424500;10.251400;26.946150;26.773050;0.173100;3.680950
2;185137;20102;20100;0.108050;0.108028;10.483600;10.277300;27.155250;26.948950;0.206300;3.683100
2;170557;20100;20100;0.117282;0.117263;10.559550;10.307300;27.439400;27.187150;0.252250;3.684600
2;159088;20103;20100;0.125743;0.125717;10.599600;10.316000;27.648550;27.364950;0.283600;3.680500
2;149581;20102;20100;0.133737;0.133707;10.675600;10.343000;27.781550;27.448950;0.332600;3.684450
2;141281;20104;20100;0.141595;0.141562;10.744000;10.349050;27.991100;27.596150;0.394950;3.681450
2;132981;20104;20100;0.150433;0.150397;10.839650;10.359350;28.277700;27.797400;0.480300;3.676100
2;125288;20104;20100;0.159678;0.159632;10.884850;10.358850;28.423800;27.897800;0.526000;3.669950
2;118925;20108;20100;0.168249;0.168173;10.967300;10.398150;28.646100;28.076950;0.569150;3.678400
2;113216;20105;20100;0.176714;0.176653;11.069500;10.445000;28.910650;28.286150;0.624500;3.684950
2;106559;20103;20100;0.187743;0.187689;11.301300;10.507550;29.359900;28.566150;0.793750;3.694300
2;102795;20107;20100;0.194636;0.194562;11.207600;10.473350;29.351100;28.616850;0.734250;3.681300
2;99202;20108;20100;0.201695;0.201609;11.347850;10.514250;29.627400;28.793800;0.833600;3.687000
2;95212;20106;20100;0.210129;0.210058;11.362700;10.515700;29.725850;28.878850;0.847000;3.685550
2;92114;20107;20100;0.217207;0.217122;11.446350;10.527900;29.950150;29.031700;0.918450;3.684500
2;87964;20106;20100;0.227440;0.227366;11.546500;10.564000;30.197500;29.215000;0.982500;3.687850
2;84294;20105;20100;0.237330;0.237265;11.661150;10.527050;30.448200;29.314100;1.134100;3.671000
2;81306;20111;20100;0.246126;0.245984;11.741550;10.565850;30.659800;29.484100;1.175700;3.675750
2;78607;20105;20100;0.254503;0.254430;12.014450;10.613100;31.091250;29.689900;1.401350;3.683500
2;76727;20104;20100;0.260757;0.260664;12.121900;10.589800;31.258500;29.726400;1.532100;3.672000
2;74267;20111;20100;0.269457;0.269299;12.206850;10.630100;31.576850;30.000100;1.576750;3.677100
2;71733;20106;20100;0.278909;0.278812;12.483450;10.660950;32.019350;30.196850;1.822500;3.678000
2;69821;20106;20100;0.286547;0.286447;12.512700;10.660100;32.078000;30.225400;1.852600;3.675300
2;67124;20112;20101;0.298141;0.297971;12.647568;10.709015;32.252537;30.313984;1.938553;3.683666
2;65632;20108;20100;0.304876;0.304729;12.768200;10.708100;32.619050;30.558950;2.060100;3.679200
2;63981;20108;20100;0.312733;0.312593;13.052900;10.786450;33.052800;30.786350;2.266450;3.690050
2;62132;20111;20101;0.322083;0.321911;13.118594;10.749813;33.233188;30.864407;2.368782;3.676966
2;60158;20108;20100;0.332607;0.332458;13.322350;10.775150;33.558250;31.011050;2.547200;3.678600
2;58758;20110;20100;0.340566;0.340379;13.753900;10.874300;34.317400;31.437800;2.879600;3.699150
2;57839;20111;20102;0.345983;0.345822;13.821718;10.810919;34.369113;31.358314;3.010799;3.675882
2;56304;20111;20101;0.355415;0.355232;13.896055;10.824859;34.536873;31.465677;3.071196;3.676666
2;55588;20109;20100;0.359957;0.359790;14.202050;10.875700;34.962750;31.636400;3.326350;3.686400
2;53635;20117;20100;0.373226;0.372891;14.290250;10.855400;35.142550;31.707700;3.434850;3.672350
2;52604;20111;20101;0.380449;0.380218;14.669517;10.942803;35.793960;32.067247;3.726714;3.691015
2;51480;20113;20100;0.388757;0.388500;15.248450;10.918500;36.530400;32.200450;4.329950;3.674250
2;50448;20118;20100;0.396824;0.396448;15.248200;11.020350;36.598150;32.370300;4.227850;3.699600
2;49293;20113;20100;0.406013;0.405737;15.407600;10.953450;36.864300;32.410150;4.454150;3.676850
2;48406;20125;20101;0.413709;0.413193;15.819409;10.993750;37.415179;32.589521;4.825659;3.681066
2;47308;20114;20100;0.423070;0.422761;16.256700;11.008450;38.052750;32.804500;5.248250;3.675550
2;46169;20117;20101;0.433581;0.433213;16.664417;11.050797;38.564972;32.951352;5.613619;3.687266
2;45206;20116;20100;0.442795;0.442419;16.856250;11.048950;38.877800;33.070500;5.807300;3.680100
2;45111;20121;20100;0.443839;0.443351;16.840150;11.021700;38.850750;33.032300;5.818450;3.671100
2;43749;20121;20100;0.457656;0.457153;17.635000;11.080100;39.932150;33.377250;6.554900;3.673750
2;43062;20118;20100;0.464888;0.464447;18.301000;11.094600;40.780900;33.574500;7.206400;3.674400
